input_text,target_text
Provide a motivational quote about making choices:,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.
Provide a motivational quote about pursuing your passions:,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.
Provide a motivational quote about believing in your potential:,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine."
Provide a motivational quote about pursuing your dreams:,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.
Provide a motivational quote about stepping outside your comfort zone:,"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform."
Provide a motivational quote about forgiveness:,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward."
Provide a motivational quote about doing the right thing:,"Do what is right, not what is easy nor what is popular."
Provide a motivational quote about making a positive difference in the world:,"Success is not how high you have climbed, but how you make a positive difference to the world."
Provide a motivational quote about following your passions:,"Pursue what catches your heart, not what catches your eyes."
Provide a motivational quote about starting each day with gratitude:,Start each day with a positive thought and a grateful heart.
Provide a motivational quote about gratitude:,"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more."
Provide a motivational quote about choosing one's attitude and way in life:,"Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way."
Provide a motivational quote about savoring the journey:,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey."
Provide a motivational quote about bravery:,Be brave to stand for what you believe in even if you stand alone.
Provide a motivational quote about letting go:,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny."
Provide a motivational quote about perseverance and overcoming challenges:,Never lose hope. Storms make people stronger and never last forever.
Provide a motivational quote about overcoming challenges:,Do not fear failure but rather fear not trying.
Provide a motivational quote about time management:,"Lack of direction, not lack of time, is the problem. We all have twenty-four hour days."
Provide a motivational quote about overcoming obstacles:,Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.
Provide a motivational quote about stepping out of your comfort zone:,You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.
Provide a motivational quote about overcoming obstacles:,"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind."
Provide a motivational quote about self-growth and positivity:,Let the improvement of yourself keep you so busy that you have no time to criticize others.
Provide a motivational quote about taking control of your life:,Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.
Provide a motivational quote about believing in oneself:,Believe in your infinite potential. Your only limitations are those you set upon yourself.
Provide a motivational quote about perseverance:,The man who moves a mountain begins by carrying away small stones.
Provide a motivational quote about dealing with obstacles:,"Happiness is not the absence of problems, it's the ability to deal with them."
Provide a motivational quote about pushing boundaries:,The only way of discovering the limits of the possible is to venture a little way past them into the impossible.
Provide a motivational quote about surrounding yourself with positive influences:,"Surround Yourself with People Who Believe in Your Dreams:Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you."
Provide a motivational quote about overcoming obstacles:,"Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them."
Provide a motivational quote about following your passion:,"Do what you love, love what you do, and with all your heart give yourself to it."
Provide a motivational quote about challenging the status quo:,"Learn the rules like a pro, so you can break them like an artist."
Provide a motivational quote about embracing change:,"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make."
Provide a motivational quote about ambition and hard work:,Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.
Provide a motivational quote about standing up for your beliefs:,"If you believe very strongly in something, stand up and fight for it."
Provide a motivational quote about changing your perspective:,Change the way you look at things and the things you look at change.
Provide a motivational quote about making small changes for self-improvement:,It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.
Provide a motivational quote about gratitude and helping others:,"Always remember people who have helped you along the way, and don’t forget to lift someone up."
Provide a motivational quote about taking responsibility:,"Maturity is when you stop complaining and making excuses, and start making changes."
Provide a motivational quote about healthy relationships:,"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman."
Provide a motivational quote about resilience:,What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.
Provide a motivational quote about self-worth and independence:,Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.
Provide a motivational quote about perseverance:,"Never stop dreaming, never stop believing, never give up, never stop trying, and never stop learning."
Provide a motivational quote about perseverance:,"When the going gets tough, put one foot in front of the other and just keep going. Don’t give up."
Provide a motivational quote about taking control of your own happiness and life:,"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try."
