quote,author,prompt
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,Roy T. Bennett,Provide a motivational quote about making choices:
“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,Roy T. Bennett,Provide a motivational quote about pursuing your passions:
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",Roy T. Bennett,Provide a motivational quote about believing in your potential:
“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,Roy T. Bennett,Provide a motivational quote about pursuing your dreams:
"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett,Provide a motivational quote about stepping outside your comfort zone:
"“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”",Steve Maraboli,Provide a motivational quote about forgiveness:
"“Do what is right, not what is easy nor what is popular.”",Roy T. Bennett,Provide a motivational quote about doing the right thing:
"“Success is not how high you have climbed, but how you make a positive difference to the world.”",Roy T. Bennett,Provide a motivational quote about making a positive difference in the world:
"“Pursue what catches your heart, not what catches your eyes.”",Roy T. Bennett,Provide a motivational quote about following your passions:
“Start each day with a positive thought and a grateful heart.”,Roy T. Bennett,Provide a motivational quote about starting each day with gratitude:
"“Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.”",Roy T. Bennett,Provide a motivational quote about gratitude:
"“Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.”",Viktor E. Frankl,Provide a motivational quote about choosing one's attitude and way in life:
"“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”",Roy T. Bennett,Provide a motivational quote about savoring the journey:
“Be brave to stand for what you believe in even if you stand alone.”,Roy T. Bennett,Provide a motivational quote about bravery:
"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",Steve Maraboli,Provide a motivational quote about letting go:
“Never lose hope. Storms make people stronger and never last forever.”,Roy T. Bennett,Provide a motivational quote about perseverance and overcoming challenges:
“Do not fear failure but rather fear not trying.”,Roy T. Bennett,Provide a motivational quote about overcoming challenges:
"“Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.”",Zig Ziglar,Provide a motivational quote about time management:
